Designator,Mid X,Mid Y,Rotation,Layer
C1,198.81mm,-131.5mm,0.0,top
C2,205.19 mm,-119.3 mm,0.0,top
C3,205.21 mm,-116.4 mm,0.0,top
C4,205.21 mm,-113.5 mm,0.0,top
C5,244.31 mm,-131.1 mm,180.0,top
C6,237.61 mm,-119.4 mm,180.0,top
C7,237.61 mm,-116.5 mm,180.0,top
C8,237.61 mm,-113.7 mm,180.0,top
C9,217.19 mm,-116.64 mm,90.0,top
C10,223.1 mm,-116.71 mm,90.0,top
C11,203.9 mm,-83.09 mm,-90.0,top
C12,227.16 mm,-106.25 mm,0.0,top
C13,213.59 mm,-109.0 mm,180.0,top
C14,227.09 mm,-109.0 mm,0.0,top
C15,218.84 mm,-102.25 mm,180.0,top
CN1,253.15 mm,-125.5 mm,90.0,top
D4,193.0 mm,-112.42 mm,-90.0,top
D5,248.0 mm,-112.68 mm,-90.0,top
D6,224.98 mm,-99.5 mm,0.0,top
H1,220.17 mm,-137.0 mm,0.0,top
H2,251.5 mm,-103.15 mm,90.0,top
H3,188.6 mm,-103.19 mm,90.0,top
H4,220.07 mm,-141.5 mm,0.0,top
H5,248.602 mm,-81.602 mm,135.0,top
H6,191.398 mm,-81.3059 mm,-135.0,top
H7,248.7 mm,-138.6 mm,45.0,top
H8,191.402 mm,-138.702 mm,-45.0,top
R1,217.35 mm,-124.55 mm,90.0,top
R2,226.1 mm,-123.8 mm,0.0,top
R3,225.85 mm,-126.3 mm,0.0,top
R4,225.85 mm,-128.8 mm,180.0,top
R5,201.85 mm,-78.2 mm,0.0,top
R6,193.0 mm,-117.81 mm,-90.0,top
R7,248.1 mm,-117.8 mm,90.0,top
R8,224.35 mm,-97.3 mm,0.0,top
R9,189.85 mm,-118.5 mm,0.0,top
R10,189.85 mm,-132.3 mm,0.0,top
SW1,200.5 mm,-83.18 mm,90.0,top
SW2,237.5 mm,-103.68 mm,90.0,top
U1,203.4 mm,-125.2 mm,0.0,top
U2,239.5 mm,-125.5 mm,180.0,top
U3,220.0 mm,-107.2 mm,0.0,top
U4,219.75 mm,-84.64 mm,0.0,top
U5,220.1 mm,-123.8 mm,0.0,top
USBC1,190.3 mm,-125.4 mm,-90.0,top
